problem,precision,strategy,log10s,p25_regret,median_regret,p75_regret,chol_frac,fitfail_frac,mean_median_offdiag,mean_frac_underflow,mean_ls_scaled,mean_ls_unscaled
Ackley8,float64,UCB,0.0,14.054493082850025,15.459917279970227,16.93841494125155,0.0,0.0,0.013206054951665023,0.04067227062769234,0.44524029328470616,0.36267107887761685
Ackley8,float64,UCB,1.0,11.251929640862292,18.516480055742136,19.019927823152145,0.0,0.0,0.0011098060210684743,0.4771988878647486,2.0485370991294887,0.40421822953149616
Ackley8,float64,UCB,2.0,18.942688138168773,19.307686680062737,19.89008418081502,0.0,0.0,0.0,0.9980952382087708,0.5792242296802174,0.579224229534397
Ackley8,float64,UCB,3.0,18.942688138168773,19.34841109046492,20.151896718846622,0.0,0.0,0.0,0.9983193278312683,0.5792242295115532,0.5792242295260077
Ackley8,float64,UCB,4.0,18.942688138168773,19.307686680062737,19.990911007854326,0.0,0.0,0.0,0.9983193278312683,0.5792242297021268,0.5792242295335567
Ackley8,float64,UCB,5.0,18.942688138168773,19.252262238420936,19.89008418081502,0.0,0.13333333333333333,0.0,0.9985434174537658,43.67560654849976,0.5787875185664202
Ackley8,float64,Random,0.0,18.942688138168773,19.307686680062737,19.990911007854326,0.0,0.0,nan,nan,nan,nan
Ackley8,float64,Random,1.0,18.942688138168773,19.307686680062737,19.990911007854326,0.0,0.0,nan,nan,nan,nan
Ackley8,float64,Random,2.0,18.942688138168773,19.307686680062737,19.990911007854326,0.0,0.0,nan,nan,nan,nan
Ackley8,float64,Random,3.0,18.942688138168773,19.307686680062737,19.990911007854326,0.0,0.0,nan,nan,nan,nan
Ackley8,float64,Random,4.0,18.942688138168773,19.307686680062737,19.990911007854326,0.0,0.0,nan,nan,nan,nan
Ackley8,float64,Random,5.0,18.942688138168773,19.307686680062737,19.990911007854326,0.0,0.0,nan,nan,nan,nan
Ackley8,float32,UCB,0.0,13.471933213631987,14.116676082861042,16.181218837891645,0.0,0.0,0.018281982943160812,0.035854342168507476,0.36196688090761503,0.35204043686389924
Ackley8,float32,UCB,1.0,10.961267934367733,17.609804433028316,18.60576177567863,0.0,0.0,0.0034278467031737068,0.32649860562135774,1.7976764520009358,0.48414237300554913
Ackley8,float32,UCB,2.0,18.942689584852147,19.258412833839987,19.890081971473453,0.0,0.0,0.0,0.9976470589637756,0.5808157324790955,0.608421778678894
Ackley8,float32,UCB,3.0,18.942690366674785,19.307686619664405,19.983442480724797,0.0,0.0,0.0,0.9985434174537658,0.5772566000620524,0.5792242368062337
Ackley8,float32,UCB,4.0,18.97015873947045,19.348408034452916,19.983441900936974,0.0,0.0,0.0,0.9984313726425171,2.346591583887736,0.6027064363161723
Ackley8,float32,UCB,5.0,18.97015873947045,19.348408034452916,20.182353077907788,0.0,0.0,0.0,0.9988795518875122,2.2814164320627848,0.6088530063629151
Ackley8,float32,Random,0.0,18.942690366674785,19.307686619664405,19.990911007854326,0.0,0.0,nan,nan,nan,nan
Ackley8,float32,Random,1.0,18.94269220105119,19.307690956749138,19.990911007854326,0.0,0.0,nan,nan,nan,nan
Ackley8,float32,Random,2.0,18.942689584852147,19.307685658261732,19.990911007854326,0.0,0.0,nan,nan,nan,nan
Ackley8,float32,Random,3.0,18.942690366674785,19.307686619664405,19.990911007854326,0.0,0.0,nan,nan,nan,nan
Ackley8,float32,Random,4.0,18.942688532293797,19.307688941602088,19.990912454419572,0.0,0.0,nan,nan,nan,nan
Ackley8,float32,Random,5.0,18.94269220105119,19.307686619664405,19.990912454419572,0.0,0.0,nan,nan,nan,nan
