problem,precision,strategy,log10s,median_regret,chol_frac,fitfail_frac,mean_max_offdiag,mean_ls_scaled,mean_ls_unscaled
Branin,float64,UCB,3.0,0.03076795476961791,0.0,0.0,0.9976204019062405,175.60133362457302,0.4704707121459342
Branin,float64,UCB,3.5,0.44832235126588216,0.0,0.0,0.9934582674166074,449.36202676281863,0.5831139003656439
Branin,float64,UCB,4.0,1.2391335072054792,0.0,0.0,0.8683463565476425,451.9427227019048,0.5949211630134332
Branin,float64,UCB,4.5,1.4257477649306898,0.0,0.0,0.6286058350286389,120.51257963613175,0.6298388275674853
Branin,float64,UCB,5.0,2.131395321441161,0.0,0.0,0.20176179064996533,0.4880935218201677,0.36294516531163673
Branin,float64,Random,3.0,1.602871213847985,0.0,0.0,nan,nan,nan
Branin,float64,Random,3.5,1.602871213847985,0.0,0.0,nan,nan,nan
Branin,float64,Random,4.0,1.602871213847985,0.0,0.0,nan,nan,nan
Branin,float64,Random,4.5,1.602871213847985,0.0,0.0,nan,nan,nan
Branin,float64,Random,5.0,1.602871213847985,0.0,0.0,nan,nan,nan
Branin,float32,UCB,3.0,0.5530173391289218,0.0,0.0,0.9434458673000335,63.77585386236509,0.6116791884104411
Branin,float32,UCB,3.5,1.7776201545262102,0.23333333333333334,0.0,0.8092502266168594,53.27967234154542,0.8256196374694507
Branin,float32,UCB,4.0,1.233504194798372,0.13333333333333333,0.0,0.7690764734318842,15.12445322672526,9.51497125327587
Branin,float32,UCB,4.5,2.7617364632017427,0.03333333333333333,0.0,0.38303893804550254,8.367371466755866,3.552514362335205
Branin,float32,UCB,5.0,1.7452484748085721,0.0,0.0,0.1,0.6413556059201558,0.4648450454076131
Branin,float32,Random,3.0,1.602871213847985,0.0,0.0,nan,nan,nan
Branin,float32,Random,3.5,1.602871213847985,0.0,0.0,nan,nan,nan
Branin,float32,Random,4.0,1.602871213847985,0.0,0.0,nan,nan,nan
Branin,float32,Random,4.5,1.602871213847985,0.0,0.0,nan,nan,nan
Branin,float32,Random,5.0,1.602871213847985,0.0,0.0,nan,nan,nan
